level_0,level_1,0,1
Astralis,Excel Esports,26.746315844000005,27.720886549000006
Astralis,Fnatic,28.980354124000005,29.857377029000002
Astralis,G2 Esports,29.079266908000005,27.287530886000003
Astralis,MAD Lions,25.810810946000004,28.669977201000005
Astralis,Misfits Gaming,28.099231288000006,29.029917333
Astralis,Rogue,29.082276520000004,30.935523531
Astralis,SK Gaming,25.285488404000002,25.906551022000002
Astralis,Team BDS,25.796192252,24.548011794
Astralis,Team Vitality,28.664862763000002,27.406679027000006
Excel Esports,Astralis,27.204360200000004,27.262842193000004
Excel Esports,Fnatic,30.125217076000002,29.499526085000003
Excel Esports,G2 Esports,27.917148117000004,28.183803177000005
Excel Esports,MAD Lions,26.629161250000006,27.406679027000006
Excel Esports,Misfits Gaming,29.326049845000004,28.422505980000004
Excel Esports,Rogue,31.469609646000002,29.442373508000003
Excel Esports,SK Gaming,25.187705846000004,26.316234356000002
Excel Esports,Team BDS,24.477459433000003,25.168568568
Excel Esports,Team Vitality,27.525231314000003,28.025193319000007
Fnatic,Astralis,29.522933850999998,29.314797302000006
Fnatic,Excel Esports,29.503128340000004,30.121614821
Fnatic,G2 Esports,31.350891351,30.276650235
Fnatic,MAD Lions,29.599491153000006,30.011724159000003
Fnatic,Misfits Gaming,30.910885786,32.137310716
Fnatic,Rogue,33.57601313,32.140542731000004
Fnatic,SK Gaming,27.290277965000005,30.145279508000005
Fnatic,Team BDS,28.248797301000003,27.193872877
Fnatic,Team Vitality,30.936754980000003,30.395530602000004
G2 Esports,Astralis,27.902377376000004,28.464420418000007
G2 Esports,Excel Esports,26.392067155000003,29.70888413900001
G2 Esports,Fnatic,31.090672264,30.536869322000005
G2 Esports,MAD Lions,29.120493062000005,27.769078948000004
G2 Esports,Misfits Gaming,29.373040057000004,30.770837329000003
G2 Esports,Rogue,30.329037233000005,31.541468433000002
G2 Esports,SK Gaming,26.121285155000006,27.658639504000007
G2 Esports,Team BDS,26.648526464,25.452887633000003
G2 Esports,Team Vitality,28.053456456000006,29.868493957000002
MAD Lions,Astralis,27.210417459000006,27.270370688000003
MAD Lions,Excel Esports,28.067042210000004,25.968798067000005
MAD Lions,Fnatic,30.300650644,29.310564668
MAD Lions,G2 Esports,28.391167684000006,28.498404326000006
MAD Lions,Misfits Gaming,28.632353302000006,28.516965428000002
MAD Lions,Rogue,30.830762747,30.453345389000003
MAD Lions,SK Gaming,24.839514416000004,26.313686030000007
MAD Lions,Team BDS,25.086913268,25.532894078000005
MAD Lions,Team Vitality,28.895108239000006,27.884366396000004
Misfits Gaming,Astralis,28.411403041000003,28.717745580000003
Misfits Gaming,Excel Esports,28.336126666000006,29.412429159000002
Misfits Gaming,Fnatic,31.514533696,31.533662806000002
Misfits Gaming,G2 Esports,30.148690688000002,29.995186698000005
Misfits Gaming,MAD Lions,28.204631177000007,28.944687553000005
Misfits Gaming,Rogue,31.339788412,32.685738742
Misfits Gaming,SK Gaming,27.820070011000002,26.346702509
Misfits Gaming,Team BDS,28.40928819,25.451238778
Misfits Gaming,Team Vitality,29.909720111000002,29.593947797000002
Rogue,Astralis,29.941739659000003,30.076060392000002
Rogue,Excel Esports,30.460846073000003,30.451137081000002
Rogue,Fnatic,32.056216320000004,33.660339541
Rogue,G2 Esports,29.850134783,32.020370883
Rogue,MAD Lions,31.003855646,30.280252490000002
Rogue,Misfits Gaming,33.075616266000004,30.949910888000005
Rogue,SK Gaming,30.581274842000003,27.107464235000002
Rogue,Team BDS,29.301643572000003,26.932289105
Rogue,Team Vitality,30.784193045000002,31.096520563000002
SK Gaming,Astralis,25.815600507000003,25.376438919000005
SK Gaming,Excel Esports,26.285488404000002,25.218451798000004
SK Gaming,Fnatic,29.295370206000005,28.140187267
SK Gaming,G2 Esports,27.919237305000003,25.860687354000003
SK Gaming,MAD Lions,25.418222299000004,25.734978147000003
SK Gaming,Misfits Gaming,27.219660057000006,26.947112463000003
SK Gaming,Rogue,29.777510612,27.911228465
SK Gaming,Team BDS,24.344660027,22.915846237000004
SK Gaming,Team Vitality,25.221960731000003,28.647702565000007
Team BDS,Astralis,24.140370942000004,26.203833104000005
Team BDS,Excel Esports,25.100564533000004,24.545463468
Team BDS,Fnatic,26.718867339,28.723802839
Team BDS,G2 Esports,27.63907238,24.462341717000005
Team BDS,MAD Lions,24.083404335,26.536403011000004
Team BDS,Misfits Gaming,25.754343361,28.106183607
Team BDS,Rogue,28.04802177,28.185910907
Team BDS,SK Gaming,23.041555444,24.21895082
Team BDS,Team Vitality,24.772470988000002,26.632309087
Team Vitality,Astralis,28.407705145000005,27.663836645000007
Team Vitality,Excel Esports,26.404636545000002,29.145788088000007
Team Vitality,Fnatic,29.413117443000004,31.919168139000003
Team Vitality,G2 Esports,29.081654082000007,28.840296331000005
Team Vitality,MAD Lions,27.602940595000007,29.176534040000004
Team Vitality,Misfits Gaming,30.569490651000006,28.93417725700001
Team Vitality,Rogue,32.939198464,28.941515144000004
Team Vitality,SK Gaming,27.698846671000005,26.170816625000004
Team Vitality,Team BDS,26.379080912000003,25.025699163000002
